time,channel_id,msg_id,item,price,seller_tag,seller_avipart
2021-01-13T20:55:36,765146247992180736,799018840142905365,VT&Demons $75,75.0,jaime#6814,613372665805275149/52101ccf972644062ca6eb599c404f0b
2021-01-13T20:55:36,765146247992180736,799018840142905365,PM me if ur interested ^^ 33 @&764745528683528223,33.0,jaime#6814,613372665805275149/52101ccf972644062ca6eb599c404f0b
2021-01-13T19:21:17,733999480898322452,798995105574420490,arave heart donotsteal738250921775202355 100mil coins after tax ($10) a696827579000422460,99999999,Jaira#1776,742914115332472947/6d5ee3c787e0be00d82d7a300d5d23d6
2021-01-13T19:20:52,733999480898322452,798995000741330955,Nightshade meadow scout braided hair (purple/blue) $6,6.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Nightshade glade enchanter ears (Red) $5,5.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Nightshade enchanter bound hair (red/black) $4,4.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Nightshade elf ears $5,5.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,GB Paws Blue $4,4.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Sweet sailor belts incomplete $6,6.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Sweeheart scholar boots (lvled) $4.5,4.5,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Shamrock wow skirts (blue purple and green) $3.5,3.5,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Too cute for you bows all colors (lvled) $3,3.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Rowdy Rambuctious Leg Bandages all colors except light brown $3,3.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Fun fruit earrings (cherry star strawberry watermelon lemon and orange) $6,6.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Funky fresh skirts (all colors) + incomplete tops + incomplete headphones $5,5.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Hears a flutter dresses all colors (lvled) $5,5.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,oceanic fae collection (missing only the orange wings) $10,10.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Light me up earrings all colors $3.5,3.5,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Reindeer on your head (teal brown hot pink black red grey) $4,4.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Cursed doll wings (black green red) $5,5.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Eye see you messenger bags $3,3.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,First snowfall skirts all colors $3,3.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Ghostie ghost shoes (green purple beige) $3,3.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:20:52,733999480898322452,798995000741330955,Big bunny kigurumi set (white) $6,6.0,𝓢𝓪𝓰𝓮#2605,600024564365262848/c3cc52b3fdb1348cb35f9294b0605d44
2021-01-13T19:11:43,733999480898322452,798940501289992283,,,packy#7541,770401499536162846/ece84b548213c8b2c5b9f1ead48e9bfa
2021-01-13T19:11:43,733999480898322452,798940501289992283,Vamp teeth $80,80.0,packy#7541,770401499536162846/ece84b548213c8b2c5b9f1ead48e9bfa
2021-01-13T19:11:43,733999480898322452,798940501289992283,Vamp teeth $80,80.0,packy#7541,770401499536162846/ece84b548213c8b2c5b9f1ead48e9bfa
2021-01-13T19:11:43,733999480898322452,798940501289992283,Vamp teeth $80,80.0,packy#7541,770401499536162846/ece84b548213c8b2c5b9f1ead48e9bfa
2021-01-13T19:11:43,733999480898322452,798940501289992283,Vamp teeth $80,80.0,packy#7541,770401499536162846/ece84b548213c8b2c5b9f1ead48e9bfa
2021-01-13T17:51:31,733999480898322452,798972437051474000,2000 gems available 1$ for 150 gems overwhelmed for 5 $ and 45 mil coins (after tax) 5 $,1.0,elena#0505,263036122001702912/316129d68e31cb3669e59fa91debc1ae
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts yellow donotsteal738929846285107301 Black Cz set unleveled 75$,75.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts red donotsteal738929744115925022 White magician hat unleveled 55$,55.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts pink donotsteal738929962605608970 Starry eye tattoo 5$,5.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts orange donotsteal738929809660444724 Black Vision of war dress 5$,5.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts blue donotsteal738929924647419954 Shamrock set+pink shirt unleveled all 100$,100.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts yellow donotsteal738929846285107301 Leaves 18$,18.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts red donotsteal738929744115925022 Cur pirate boots 12$,12.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts pink donotsteal738929962605608970 Demon Eyes 30$,30.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts orange donotsteal738929809660444724 Wild Heart Face Tattoo 40$,40.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts green donotsteal738929886898421800 Black dark countess shoes 60$,60.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798862213791481866,xxhearts blue donotsteal738929924647419954 Full set mystic mountain 35$,35.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
